time,input,output
-5,0.0964824,0.0494472
-4.9,0.0964824,0.0506533
-4.8,0.0952764,0.0494472
-4.7,0.0976884,0.0494472
-4.6,0.0940703,0.0494472
-4.5,0.0976884,0.0506533
-4.4,0.0952764,0.0494472
-4.3,0.0940703,0.0494472
-4.2,0.0976884,0.0506533
-4.1,0.0952764,0.0494472
-4,0.0976884,0.0506533
-3.9,0.0952764,0.0494472
-3.8,0.0952764,0.0494472
-3.7,0.0940703,0.0506533
-3.6,0.0940703,0.0494472
-3.5,0.0988945,0.0518593
-3.4,0.0952764,0.0482412
-3.3,0.0964824,0.0494472
-3.2,0.0964824,0.0494472
-3.1,0.0940703,0.0482412
-3,0.0964824,0.0506533
-2.9,0.0952764,0.0494472
-2.8,0.0976884,0.0506533
-2.7,0.0964824,0.0506533
-2.6,0.0964824,0.0494472
-2.5,0.0964824,0.0506533
-2.4,0.0952764,0.0494472
-2.3,0.0976884,0.0506533
-2.2,0.0952764,0.0494472
-2.1,0.0964824,0.0506533
-2,0.0964824,0.0506533
-1.9,0.0952764,0.0506533
-1.8,0.0940703,0.0494472
-1.7,0.0976884,0.0506533
-1.6,0.0964824,0.0494472
-1.5,0.0976884,0.0506533
-1.4,0.0988945,0.0506533
-1.3,0.0964824,0.0506533
-1.2,0.0976884,0.0506533
-1.1,0.0988945,0.0518593
-1,0.0964824,0.0518593
-0.9,0.0952764,0.0506533
-0.8,0.0952764,0.0506533
-0.7,0.0964824,0.0518593
-0.6,0.0892462,0.0494472
-0.5,0.0988945,0.0506533
-0.4,0.0952764,0.0494472
-0.3,0.0964824,0.0494472
-0.2,0.0976884,0.0506533
-0.1,0.0964824,0.0506533
0,0.0880402,0.0506533
0.1,0.0964824,0.0506533
0.2,0.0952764,0.0506533
0.3,0.0964824,0.0506533
0.4,0.0964824,0.0506533
0.5,0.0976884,0.0518593
0.6,0.0988945,0.0518593
0.7,0.0952764,0.0506533
0.8,0.0964824,0.0506533
0.9,0.0952764,0.0494472
1,0.0952764,0.0506533
1.1,0.0964824,0.0506533
1.2,0.0952764,0.0494472
1.3,0.0952764,0.0506533
1.4,0.0964824,0.0506533
1.5,0.0964824,0.0506533
1.6,0.0952764,0.0506533
1.7,0.0952764,0.0494472
1.8,0.0976884,0.0494472
1.9,0.0952764,0.0494472
2,0.0976884,0.0506533
2.1,0.0964824,0.0506533
2.2,0.0940703,0.0494472
2.3,0.0952764,0.0494472
2.4,0.0952764,0.0494472
2.5,0.0976884,0.0506533
2.6,0.0964824,0.0494472
2.7,0.0952764,0.0494472
2.8,0.0952764,0.0506533
2.9,0.0928643,0.0482412
3,0.0964824,0.0506533
3.1,0.0952764,0.0506533
3.2,0.0964824,0.0518593
3.3,0.0952764,0.0506533
3.4,0.0940703,0.0482412
3.5,0.0952764,0.0506533
3.6,0.0964824,0.0494472
3.7,0.0964824,0.0506533
3.8,0.0964824,0.0506533
3.9,0.0964824,0.0506533
4,0.0952764,0.0494472
4.1,0.0952764,0.0494472
4.2,0.0976884,0.0518593
4.3,0.0976884,0.0506533
4.4,0.0964824,0.0494472
4.5,0.0964824,0.0506533
4.6,0.0964824,0.0494472
4.7,0.0952764,0.0494472
4.8,0.0964824,0.0506533
4.9,0.0952764,0.0494472
