time,input,output
-5,0.488844,0.289447
-4.9,0.488844,0.289447
-4.8,0.488844,0.289447
-4.7,0.488844,0.289447
-4.6,0.488844,0.295879
-4.5,0.488844,0.289447
-4.4,0.488844,0.289447
-4.3,0.488844,0.289447
-4.2,0.488844,0.289447
-4.1,0.488844,0.289447
-4,0.488844,0.289447
-3.9,0.488844,0.289447
-3.8,0.488844,0.289447
-3.7,0.488844,0.289447
-3.6,0.488844,0.295879
-3.5,0.488844,0.289447
-3.4,0.488844,0.289447
-3.3,0.488844,0.289447
-3.2,0.488844,0.289447
-3.1,0.488844,0.289447
-3,0.488844,0.289447
-2.9,0.488844,0.289447
-2.8,0.488844,0.289447
-2.7,0.488844,0.289447
-2.6,0.488844,0.289447
-2.5,0.488844,0.289447
-2.4,0.488844,0.289447
-2.3,0.488844,0.289447
-2.2,0.488844,0.289447
-2.1,0.488844,0.289447
-2,0.488844,0.289447
-1.9,0.482412,0.289447
-1.8,0.488844,0.289447
-1.7,0.488844,0.289447
-1.6,0.488844,0.289447
-1.5,0.488844,0.289447
-1.4,0.488844,0.289447
-1.3,0.488844,0.289447
-1.2,0.488844,0.289447
-1.1,0.488844,0.289447
-1,0.488844,0.289447
-0.9,0.488844,0.289447
-0.8,0.488844,0.289447
-0.7,0.488844,0.289447
-0.6,0.488844,0.289447
-0.5,0.488844,0.289447
-0.4,0.488844,0.289447
-0.3,0.488844,0.289447
-0.2,0.488844,0.289447
-0.1,0.488844,0.289447
0,0.488844,0.289447
0.1,0.488844,0.289447
0.2,0.488844,0.289447
0.3,0.488844,0.289447
0.4,0.488844,0.289447
0.5,0.488844,0.289447
0.6,0.488844,0.295879
0.7,0.488844,0.289447
0.8,0.488844,0.289447
0.9,0.488844,0.289447
1,0.488844,0.289447
1.1,0.488844,0.289447
1.2,0.488844,0.289447
1.3,0.488844,0.295879
1.4,0.488844,0.289447
1.5,0.488844,0.289447
1.6,0.488844,0.289447
1.7,0.488844,0.289447
1.8,0.488844,0.289447
1.9,0.488844,0.289447
2,0.488844,0.289447
2.1,0.488844,0.289447
2.2,0.488844,0.289447
2.3,0.488844,0.289447
2.4,0.488844,0.289447
2.5,0.488844,0.289447
2.6,0.488844,0.289447
2.7,0.488844,0.289447
2.8,0.488844,0.295879
2.9,0.488844,0.289447
3,0.488844,0.289447
3.1,0.488844,0.289447
3.2,0.488844,0.289447
3.3,0.488844,0.289447
3.4,0.488844,0.289447
3.5,0.488844,0.289447
3.6,0.488844,0.289447
3.7,0.488844,0.289447
3.8,0.488844,0.289447
3.9,0.488844,0.289447
4,0.488844,0.289447
4.1,0.488844,0.289447
4.2,0.488844,0.289447
4.3,0.488844,0.289447
4.4,0.488844,0.289447
4.5,0.488844,0.289447
4.6,0.488844,0.295879
4.7,0.488844,0.289447
4.8,0.488844,0.295879
4.9,0.488844,0.289447
